Fiscal Year,Function/Program,Department,Program/Metric,Program/Metric Label,Amount,Sub-Metric 1,Sub-Metric2
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Water Reclaimed (MGD),32,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Wastewater Treatment (MGD),52,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Water Reclaimed (MGD),8,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Wastewater Treatment (MGD),20,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Reclaimed (MGD),2,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Treatment (MGD),15,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Reclaimed (MGD),26,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Treatment (MGD),297,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Watershed Protection,"Watershed Protection/Clean 90,000 catch basins annually (%)",76,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Flood Control Facilities,Maintenance and Operation of Flood Control Facilities/Catch Basin Cleaning,63070,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals impounded (7),64417,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals which die while in City's care (%),1,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Animal Services,Animal Licensing and Permitting Operations,Animal Licensing and Permitting Operations/Dog licenses issued,121817,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals euthanized,24632,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals adopted,29525,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Building and Safety,Building Permits Issued,Building Permits Issued,115694,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Building and Safety,Response to inspection requests within 24 hrs (%),Response to inspection requests within 24 hrs (%),98,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Response within 5 mins of notification (%),94,Completion frequency-posted routes %,Response within 5 mins of notification (%)
2011,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT fire resources,145559,Completion frequency-posted routes %,EMT fire resources
2011,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Response to emergencies within 5 mins (%),86,Completion frequency-posted routes %,Response to emergencies within 5 mins (%)
2011,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Fires (includes automatic alarms),118986,Completion frequency-posted routes %,Fires (includes automatic alarms)
2011,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Hazardous conditions,5209,Completion frequency-posted routes %,Hazardous conditions
2011,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Structure fires,4172,Completion frequency-posted routes %,Structure fires
2011,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Helicopter flight hours for brush and structure fires,609,Completion frequency-posted routes %,Helicopter flight hours for brush and structure fires
2011,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Arson Investigation and Counter-Terrorism/Closure rate in criminal fires investigation (%),70,Completion frequency-posted routes %,Closure rate in criminal fires investigation (%)
2011,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic ambulances,252587,Completion frequency-posted routes %,Paramedic ambulances
2011,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT ambulances,124439,Completion frequency-posted routes %,EMT ambulances
2011,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic fire resources,126506,Completion frequency-posted routes %,Paramedic fire resources
2011,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Rescues and others,37834,Completion frequency-posted routes %,Rescues and others
2011,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Non structure fires,10686,Completion frequency-posted routes %,Non structure fires
2011,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Part I crimes reported,106827,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged rape kits reduced,1097,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged fingerprint cases reduced,5492,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Police,Technical Support Program,Technical Support Program/Complaint board calls received (911),2140387,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic citations issued,564432,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Fatal and injury traffic accidents,18448,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic collisions investigated,44725,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Response to emergency calls (in minutes),6,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Total arrests,160480,Completion frequency-posted routes %,
2011,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Selected Part II crimes reported,74251,Completion frequency-posted routes %,
2011,Public Works,Board of Commissioners,"Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)","Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)",35700,Completion frequency-posted routes %,
2011,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-private (million sq ft)",7,Completion frequency-posted routes %,
2011,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-public (million sq ft)",10,Completion frequency-posted routes %,
2011,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Debris removed (cubic yards)",125000,Completion frequency-posted routes %,
